timestamp,tick_index,open,high,low,close,volume,macd_fast,macd_slow,macd_diff,signal,hist,ema10,ema20,ema50,ema100,ema200,ema10_vs_20,ema20_vs_50,rsi_extreme,pine_bar_color,pine_bg_color,jerk_raw,acc_smooth,velocity,norm_jerk,pos_norm_20,tr_5d_avg,tr_20d_avg,tr_ratio_5d_20d,tr_ratio_20d_60d,readable_time
1687651200000,0,30527.44,31046.01,30277.49,30462.66,30223.4480,0.00,0.00,0.00,0.00,0.00,30462.66,30462.66,30462.66,30462.66,30462.66,Neutral,Neutral,Normal,PureGreen,green,0,0,0,0,24.0944,0,0,0,0,2023-06-25 00:00:00
1687737600000,1,30462.67,30666.00,29930.00,30267.99,45180.4149,-15.5292,-15.5292,-15.5292,-15.5292,0.0000,30427.2655,30444.1200,30455.0259,30458.8051,30460.7230,Bearish,Bearish,Normal,LightGreen,red,0,0,0,0,30.2856,736.00,736.00,1,0,2023-06-26 00:00:00
1687824000000,2,30267.99,30994.97,30226.17,30692.44,42699.6416,6.3402,6.3402,6.3402,-11.1553,17.4956,30475.4790,30467.7695,30464.3362,30463.4316,30463.0286,Bullish,Bullish,Normal,PureGreen,green,0,0,0,0,68.3184,752.40,752.40,1.0218,0,2023-06-27 00:00:00
1687910400000,3,30692.44,30709.74,29858.80,30077.41,40463.5194,-25.6601,-25.6601,-25.6601,-14.0563,-11.6038,30403.1028,30430.5924,30449.1627,30455.7876,30459.1916,Bearish,Bearish,Normal,PureRed,red,0,0,0,0,18.4138,785.2467,785.2467,1.0837,0,2023-06-28 00:00:00
1687996800000,4,30077.40,30843.98,30049.98,30447.31,36330.6290,-20.9314,-20.9314,-20.9314,-15.4313,-5.5001,30411.1405,30432.1846,30449.0900,30455.6197,30459.0734,Bearish,Bearish,Normal,PureRed,red,0,0,0,0,49.5708,787.4350,787.4350,1.0083,0,2023-06-29 00:00:00
1688083200000,5,30447.31,31282.00,29500.00,30472.00,89419.0762,-15.0185,-15.0185,-15.0185,-15.3487,0.3302,30422.2059,30435.9765,30449.9884,30455.9441,30459.2020,Bearish,Bearish,Normal,PureRed,red,0,0,0,0,54.5455,986.3480,986.3480,1.8067,0,2023-06-30 00:00:00
1688169600000,6,30471.99,30661.60,30320.57,30585.90,17501.7508,-1.1287,-1.1287,-1.1287,-12.5047,11.3760,30451.9684,30450.2549,30455.3183,30458.5175,30460.4627,Bullish,Bearish,Normal,LightGreen,lightred,0,0,0,0,60.9371,907.3540,878.7950,0.3881,0,2023-07-01 00:00:00
1688256000000,7,30585.90,30791.00,30155.00,30617.03,23286.4102,12.2498,12.2498,12.2498,-7.5538,19.8036,30481.9796,30466.1383,30461.6599,30461.6563,30462.0206,Bullish,Bullish,Normal,PureGreen,green,0,0,0,0,62.6841,880.7940,844.11,0.7535,0,2023-07-02 00:00:00
1688342400000,8,30617.02,31380.00,30570.27,31156.20,43761.6431,65.6026,65.6026,65.6026,7.0775,58.5252,30604.5651,30531.8584,30488.8968,30475.4097,30468.9278,Bullish,Bullish,Overbought,Purple,green,0,0,0,0,88.0957,872.5520,839.8125,0.9642,0,2023-07-03 00:00:00
1688428800000,9,31156.20,31350.69,30620.00,30766.51,33206.1194,75.5693,75.5693,75.5693,20.7758,54.7935,30634.0097,30554.2062,30499.7836,30481.1740,30471.8889,Bullish,Bullish,Overbought,Purple,green,0,0,0,0,67.3676,859.89,827.6878,0.8828,0,2023-07-04 00:00:00
